State,County,Percent of Children with Confirmed BLLs ³5 µg/dL
MO,Saline,2.90%
MO,Schuyler,0.00%
MO,Scotland,SD
MO,Scott,1.10%
MO,Shannon,SD
MO,Shelby,SD
MO,Stoddard,SD
MO,Stone,0.00%
MO,Sullivan,SD
MO,Taney,SD
MO,Texas,SD
MO,Vernon,SD
MO,Warren,SD
MO,Washington,6.50%
MO,Wayne,0.00%
MO,Webster,SD
MO,Worth,0.00%
MO,Wright,SD
MO,St. Louis,4.60%
MO,Unknown,SD
NV,Churchill,0.00%
NV,Clark,0.30%
NV,Douglas,0.00%
NV,Elko,SD
NV,Eureka,0.00%
NV,Humboldt,0.00%
NV,Lander,0.00%
NV,Lincoln,0.00%
NV,Lyon,0.00%
NV,Mineral,0.00%
NV,Pershing,0.00%
NV,Washoe,SD
NV,White Pine,0.00%
NV,Carson City,SD
NV,Unknown,0.00%
NH,Belknap,2.00%
NH,Carroll,SD
NH,Cheshire,1.80%
NH,Coos,SD
NH,Grafton,1.40%
NH,Hillsborough,2.70%
NH,Merrimack,1.50%
NH,Rockingham,0.50%
NH,Strafford,2.80%
NH,Sullivan,2.70%
NH,Unknown,1.80%
NJ,Atlantic,2.00%
NJ,Bergen,1.50%
NJ,Burlington,0.90%
NJ,Camden,1.70%
NJ,Cape May,SD
NJ,Cumberland,5.40%
NJ,Essex,4.60%
NJ,Gloucester,1.50%
NJ,Hudson,2.30%
NJ,Hunterdon,1.20%
NJ,Mercer,5.00%
NJ,Middlesex,1.90%
NJ,Monmouth,1.60%
NJ,Morris,1.70%
NJ,Ocean,0.60%
NJ,Passaic,3.60%
NJ,Salem,6.80%
NJ,Somerset,1.20%
NJ,Sussex,SD
NJ,Union,3.20%
NJ,Warren,2.30%
NJ,Unknown,2.90%
NY,Albany,4.40%
NY,Allegany,4.70%
NY,Bronx,0.90%
NY,Broome,2.60%
NY,Cattaraugus,7.10%
NY,Cayuga,4.90%
NY,Chautauqua,7.20%
NY,Chemung,3.00%
NY,Chenango,5.80%
NY,Clinton,1.10%
NY,Columbia,4.60%
NY,Cortland,5.40%
NY,Delaware,6.60%
NY,Dutchess,1.70%
NY,Erie,5.10%
NY,Essex,SD
NY,Franklin,1.60%
NY,Fulton,10.20%
NY,Genesee,2.30%
NY,Greene,3.20%
NY,Hamilton,SD
NY,Herkimer,8.30%
NY,Jefferson,2.60%
NY,Kings,1.00%
NY,Lewis,5.80%
NY,Livingston,3.10%
NY,Madison,3.30%
NY,Monroe,2.40%
NY,Montgomery,8.70%
NY,Nassau,0.50%
NY,New York,0.50%
NY,Niagara,2.40%
NY,Oneida,8.40%
NY,Onondaga,4.60%
NY,Ontario,2.30%
NY,Orange,1.70%
NY,Orleans,5.40%
NY,Oswego,1.90%
NY,Otsego,4.60%
NY,Putnam,0.70%
NY,Queens,0.90%
NY,Rensselaer,5.00%
NY,Richmond,0.70%
NY,Rockland,0.70%
NY,St. Lawrence,4.80%
NY,Saratoga,1.00%
NY,Schenectady,3.40%
NY,Schoharie,4.60%
NY,Schuyler,4.00%
NY,Seneca,2.40%
NY,Steuben,1.60%
NY,Suffolk,0.40%
NY,Sullivan,1.60%
NY,Tioga,2.20%
NY,Tompkins,1.60%
NY,Ulster,2.90%
NY,Warren,2.60%
NY,Washington,7.40%
NY,Wayne,2.10%
NY,Westchester,1.40%
