State,County,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
LA,Pointe Coupee,1547,98,SD,SD,SD,SD,0,0,0,0,SD,0
LA,Rapides,10311,509,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Red River,609,74,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Richland,1575,173,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Sabine,1648,70,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Bernard,3850,69,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Charles,3813,63,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Helena,688,8,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. James,1440,32,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. John the Baptist,3257,20,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Landry,7066,228,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,St. Martin,4112,16,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Mary,3915,39,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,St. Tammany,18740,242,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Tangipahoa,11433,481,SD,SD,SD,SD,SD,0,SD,0,0,0
LA,Tensas,275,15,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Terrebonne,8997,203,SD,SD,SD,SD,SD,SD,0,0,0,0
LA,Union,1521,109,SD,SD,0,0.00%,SD,0,0,0,0,0
LA,Vermilion,4621,279,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Vernon,4426,173,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Washington,3458,217,SD,SD,SD,SD,0,SD,0,0,0,0
LA,Webster,2755,122,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,West Baton Rouge,2213,92,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,West Carroll,693,49,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,West Feliciana,781,21,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Winn,930,77,0,0.00%,0,0.00%,0,0,0,0,0,0
LA,Unknown,0,11744,55,0.50%,8,0.10%,47,6,SD,0,0,0
MD,Allegany,3838,936,14,1.50%,SD,SD,9,SD,SD,0,SD,0
MD,Anne Arundel,42679,9762,38,0.40%,8,0.10%,30,SD,SD,SD,0,0
MD,Baltimore,58607,16489,114,0.70%,22,0.10%,92,11,8,SD,SD,0
MD,Calvert,6120,1240,8,0.60%,SD,SD,6,SD,SD,0,0,0
MD,Caroline,2520,630,8,1.30%,SD,SD,6,SD,0,0,0,0
MD,Carroll,11313,2563,11,0.40%,0,0.00%,11,0,0,0,0,0
MD,Cecil,7040,1526,11,0.70%,SD,SD,9,SD,0,0,0,0
MD,Charles,11784,2258,8,0.40%,SD,SD,7,0,SD,0,0,0
MD,Dorchester,2122,537,7,1.30%,0,0.00%,7,0,0,0,0,0
MD,Frederick,19060,4082,23,0.60%,6,0.10%,17,SD,SD,0,0,0
MD,Garrett,1648,293,SD,SD,0,0.00%,SD,0,0,0,0,0
MD,Harford,17498,4087,8,0.20%,SD,SD,6,SD,0,0,0,0
MD,Howard,23161,4684,36,0.80%,8,0.20%,28,6,SD,SD,0,0
MD,Kent,920,180,SD,SD,0,0.00%,SD,0,0,0,0,0
MD,Montgomery,76717,20503,106,0.50%,33,0.20%,73,24,SD,SD,SD,0
MD,Prince George's,70242,19881,161,0.80%,41,0.20%,120,27,6,SD,SD,0
MD,Queen Anne's,3139,732,SD,SD,SD,SD,SD,SD,0,0,SD,0
MD,St. Mary's,8619,1967,SD,SD,0,0.00%,SD,0,0,0,0,0
MD,Somerset,1388,348,6,1.70%,SD,SD,SD,0,0,SD,0,0
MD,Talbot,2043,485,8,1.60%,SD,SD,SD,SD,0,SD,0,0
MD,Washington,10242,2507,41,1.60%,10,0.40%,31,6,SD,SD,SD,0
MD,Wicomico,7580,1865,16,0.90%,SD,SD,13,SD,SD,0,SD,0
MD,Worcester,2632,612,SD,SD,0,0.00%,SD,0,0,0,0,0
MD,Baltimore (city),42461,11453,394,3.40%,86,0.80%,308,47,24,10,SD,SD
MD,Unknown,0,146,6,4.10%,SD,SD,SD,SD,SD,SD,0,0
MI,Alcona,406,77,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Alger,402,19,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Allegan,8796,910,12,1.30%,SD,SD,10,SD,0,SD,0,0
MI,Alpena,1600,258,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Antrim,1182,185,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Arenac,868,105,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Baraga,394,88,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Barry,4125,221,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Bay,6005,782,6,0.80%,SD,SD,SD,SD,0,SD,0,0
MI,Benzie,966,127,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Berrien,10280,1137,32,2.80%,8,0.70%,24,SD,SD,0,SD,0
MI,Branch,3224,252,9,3.60%,7,2.80%,SD,SD,SD,SD,0,0
MI,Calhoun,9583,1243,36,2.90%,9,0.70%,27,SD,SD,SD,SD,0
MI,Cass,2997,361,7,1.90%,SD,SD,6,SD,0,0,0,0
MI,Charlevoix,1389,247,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Cheboygan,1202,94,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Chippewa,2036,164,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Clare,1934,159,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Clinton,5275,248,SD,SD,SD,SD,SD,SD,0,0,0,0
MI,Crawford,756,58,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Delta,2114,241,SD,SD,SD,SD,SD,0,0,SD,0,0
MI,Dickinson,1542,67,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Eaton,7050,406,6,1.50%,0,0.00%,6,0,0,0,0,0
MI,Emmet,1815,307,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Genesee,28331,3540,16,0.50%,6,0.20%,10,6,0,0,0,0
MI,Gladwin,1628,75,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Gogebic,725,93,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Grand Traverse,5643,724,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Gratiot,2414,163,SD,SD,SD,SD,SD,SD,0,0,0,0
MI,Hillsdale,3039,322,11,3.40%,SD,SD,10,0,0,0,SD,0
MI,Houghton,2206,393,7,1.80%,SD,SD,6,0,0,SD,0,0
MI,Huron,1760,197,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Ingham,18987,1189,33,2.80%,16,1.30%,17,6,6,SD,SD,0
MI,Ionia,4381,506,6,1.20%,SD,SD,SD,0,0,SD,0,0
MI,Iosco,1441,119,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Iron,569,32,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Isabella,3846,420,SD,SD,SD,SD,0,0,0,0,SD,0
MI,Jackson,10646,1693,16,0.90%,6,0.40%,10,SD,0,SD,SD,0
MI,Kalamazoo,18699,2805,32,1.10%,11,0.40%,21,6,SD,SD,SD,0
MI,Kalkaska,1139,124,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Kent,51347,5948,77,1.30%,22,0.40%,55,13,SD,SD,SD,0
MI,Keweenaw,108,16,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Lake,621,59,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Lapeer,5185,618,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Leelanau,1022,117,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Lenawee,6342,634,18,2.80%,SD,SD,13,SD,SD,SD,0,0
MI,Livingston,11593,557,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Luce,334,25,SD,SD,SD,SD,0,0,SD,0,0,0
MI,Mackinac,566,46,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Macomb,57066,8078,19,0.20%,7,0.10%,12,SD,SD,SD,SD,SD
MI,Manistee,1250,203,SD,SD,SD,SD,0,SD,0,0,0,0
MI,Marquette,3636,210,SD,SD,SD,SD,SD,SD,0,0,0,0
MI,Mason,1778,346,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Mecosta,2613,366,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Menominee,1214,104,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Midland,5445,430,SD,SD,SD,SD,SD,SD,0,0,0,0
MI,Missaukee,1062,35,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Monroe,9449,1006,7,0.70%,SD,SD,SD,SD,0,0,0,0
MI,Montcalm,4278,408,6,1.50%,SD,SD,SD,SD,0,0,0,0
MI,Montmorency,444,42,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Muskegon,12611,1979,30,1.50%,9,0.50%,21,7,SD,0,0,0
MI,Newaygo,3376,324,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Oakland,80440,12413,56,0.50%,18,0.10%,38,10,SD,SD,SD,0
MI,Oceana,1701,288,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Ogemaw,1142,94,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Ontonagon,185,36,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Osceola,1587,168,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Oscoda,562,13,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Otsego,1551,263,SD,SD,SD,SD,0,0,SD,0,0,0
MI,Ottawa,21082,2485,15,0.60%,SD,SD,13,SD,0,0,SD,0
MI,Presque Isle,574,54,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Roscommon,1020,33,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Saginaw,13085,1794,20,1.10%,9,0.50%,11,SD,SD,0,SD,0
MI,St. Clair,9692,425,6,1.40%,SD,SD,SD,SD,0,SD,0,0
MI,St. Joseph,4699,275,16,5.80%,SD,SD,11,SD,SD,0,0,0
MI,Sanilac,2477,287,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Schoolcraft,429,43,0,0.00%,0,0.00%,0,0,0,0,0,0
MI,Shiawassee,4326,619,SD,SD,SD,SD,SD,SD,SD,0,0,0
MI,Tuscola,3275,340,SD,SD,0,0.00%,SD,0,0,0,0,0
MI,Van Buren,5397,624,9,1.40%,SD,SD,8,0,SD,0,0,0
MI,Washtenaw,21255,2166,9,0.40%,SD,SD,SD,SD,SD,0,SD,0
MI,Wayne,136432,23089,539,2.30%,155,0.70%,384,97,26,12,17,SD
MI,Wexford,2445,158,SD,SD,SD,SD,0,SD,0,0,0,0
MI,Unknown,0,3585,117,3.30%,34,0.90%,83,24,SD,SD,SD,SD
MS,Adams,2046,263,SD,SD,SD,SD,0,SD,0,0,0,0
MS,Alcorn,2605,315,SD,SD,SD,SD,0,SD,SD,0,SD,0
MS,Amite,741,40,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Attala,1382,26,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Benton,591,86,SD,SD,SD,SD,0,SD,0,0,0,0
MS,Bolivar,2418,153,SD,SD,SD,SD,SD,0,SD,0,0,0
MS,Calhoun,974,123,SD,SD,SD,SD,SD,SD,SD,0,0,0
MS,Carroll,500,55,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Chickasaw,1437,118,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Choctaw,516,28,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Claiborne,644,60,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Clarke,1117,79,SD,SD,SD,SD,0,SD,0,0,0,0
MS,Clay,1349,70,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Coahoma,1998,53,SD,SD,SD,SD,SD,0,SD,0,0,SD
MS,Copiah,1970,248,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Covington,1435,158,SD,SD,SD,SD,0,0,SD,0,0,0
MS,DeSoto,13567,1024,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Forrest,5976,539,SD,SD,SD,SD,SD,0,0,SD,SD,0
MS,Franklin,532,48,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,George,2180,265,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Greene,836,138,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Grenada,1538,152,SD,SD,SD,SD,0,0,0,SD,0,SD
MS,Hancock,2892,58,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Harrison,15895,656,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Hinds,17213,1578,6,0.40%,SD,SD,SD,SD,0,SD,0,0
MS,Holmes,1268,104,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Humphreys,544,51,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Issaquena,37,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Itawamba,1571,146,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Jackson,9911,412,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Jasper,1180,30,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Jefferson,521,60,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Jefferson Davis,688,76,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Jones,5504,192,SD,SD,SD,SD,SD,SD,0,0,0,0
MS,Kemper,545,60,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lafayette,3262,315,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lamar,4895,328,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lauderdale,5490,358,7,2.00%,0,0.00%,7,0,0,0,0,0
MS,Lawrence,906,115,SD,SD,SD,SD,SD,0,0,SD,0,0
MS,Leake,1748,46,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lee,6857,702,SD,SD,SD,SD,SD,SD,SD,0,0,0
MS,Leflore,2523,257,6,2.30%,SD,SD,SD,SD,SD,0,0,0
MS,Lincoln,2385,219,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Lowndes,4684,406,SD,SD,SD,SD,SD,SD,SD,0,0,0
MS,Madison,8101,301,SD,SD,SD,SD,0,SD,0,0,0,0
MS,Marion,1714,124,SD,SD,SD,SD,SD,SD,0,SD,0,0
MS,Marshall,2359,305,SD,SD,SD,SD,0,0,0,0,SD,0
MS,Monroe,2354,107,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Montgomery,704,58,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Neshoba,2580,225,9,4.00%,SD,SD,7,SD,0,0,0,0
MS,Newton,1616,53,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Noxubee,879,102,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Oktibbeha,2997,242,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Panola,2790,265,SD,SD,SD,SD,SD,SD,0,0,0,SD
MS,Pearl River,3876,171,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Perry,819,88,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Pike,3138,247,6,2.40%,SD,SD,SD,0,0,SD,0,0
MS,Pontotoc,2754,320,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Prentiss,1802,198,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Quitman,488,37,SD,SD,SD,SD,0,0,0,SD,0,0
MS,Rankin,10450,389,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Scott,2721,67,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Sharkey,303,17,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Simpson,1845,123,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Smith,1148,68,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Stone,1280,77,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Sunflower,1658,135,SD,SD,SD,SD,0,SD,0,SD,0,0
MS,Tallahatchie,932,60,SD,SD,SD,SD,SD,SD,SD,SD,0,0
MS,Tate,2074,252,SD,SD,SD,SD,SD,SD,0,0,0,0
MS,Tippah,1581,221,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Tishomingo,1260,127,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Tunica,924,79,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Union,2263,247,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Walthall,1006,49,SD,SD,SD,SD,0,0,0,SD,0,0
MS,Warren,3523,263,SD,SD,SD,SD,SD,0,0,SD,0,0
MS,Washington,3462,173,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Wayne,1627,87,SD,SD,SD,SD,0,0,0,0,SD,0
MS,Webster,712,36,SD,SD,0,0.00%,SD,0,0,0,0,0
MS,Wilkinson,545,65,0,0.00%,0,0.00%,0,0,0,0,0,0
MS,Winston,1157,123,SD,SD,SD,SD,0,0,SD,0,0,0
MS,Yalobusha,870,106,SD,SD,SD,SD,SD,SD,0,0,0,0
MS,Yazoo,1836,284,6,2.10%,SD,SD,SD,SD,0,0,0,0
MS,Unknown,0,1909,12,0.60%,SD,SD,10,0,SD,SD,0,0
MO,Adair,1585,235,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Andrew,1206,208,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Atchison,300,32,SD,SD,SD,SD,SD,SD,0,SD,0,0
MO,Audrain,1848,293,SD,SD,SD,SD,0,SD,SD,0,SD,0
MO,Barry,2560,334,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Barton,814,101,SD,SD,SD,SD,0,0,SD,0,0,0
MO,Bates,1152,90,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Benton,1069,112,SD,SD,SD,SD,0,0,SD,0,0,0
MO,Bollinger,793,139,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Boone,12520,1809,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Buchanan,6416,1073,59,5.50%,19,1.80%,40,8,6,SD,SD,SD
MO,Butler,3154,432,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Caldwell,640,96,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Callaway,2995,396,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Camden,2395,196,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Cape Girardeau,5566,453,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Carroll,520,118,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Carter,428,52,SD,SD,SD,SD,0,0,SD,0,0,0
MO,Cass,7540,633,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Cedar,1164,83,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Chariton,530,103,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Christian,6872,902,SD,SD,SD,SD,SD,0,SD,0,0,0
MO,Clark,467,53,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Clay,19162,1710,13,0.80%,SD,SD,12,0,SD,0,0,0
MO,Clinton,1441,167,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Cole,5385,649,8,1.20%,SD,SD,6,SD,0,0,0,0
MO,Cooper,1204,210,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Crawford,1622,215,7,3.30%,SD,SD,SD,SD,SD,0,0,0
MO,Dade,458,55,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Dallas,1366,151,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Daviess,710,102,SD,SD,SD,SD,0,SD,0,0,0,0
MO,DeKalb,643,100,SD,SD,SD,SD,SD,SD,SD,0,0,0
MO,Dent,1096,190,11,5.80%,SD,SD,7,SD,SD,0,0,0
MO,Douglas,910,76,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Dunklin,2406,314,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Franklin,7416,591,7,1.20%,0,0.00%,7,0,0,0,0,0
MO,Gasconade,940,129,SD,SD,SD,SD,SD,0,SD,0,0,0
MO,Gentry,573,87,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Greene,20499,2406,33,1.40%,7,0.30%,26,6,SD,0,0,0
MO,Grundy,801,77,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Harrison,591,77,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Henry,1594,169,SD,SD,SD,SD,SD,SD,SD,0,0,0
MO,Hickory,482,52,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Holt,267,57,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Howard,662,155,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Howell,3083,257,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Iron,642,133,16,12.00%,6,4.50%,10,SD,SD,SD,0,0
MO,Jackson,54211,6490,128,2.00%,36,0.60%,92,17,9,6,SD,0
MO,Jasper,9520,1479,20,1.40%,SD,SD,17,SD,SD,SD,0,0
MO,Jefferson,15795,1186,6,0.50%,0,0.00%,6,0,0,0,0,0
MO,Johnson,4068,179,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Knox,327,34,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Laclede,3004,462,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Lafayette,2428,362,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Lawrence,3140,479,SD,SD,SD,SD,SD,0,0,0,SD,0
MO,Lewis,704,51,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Lincoln,5098,490,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Linn,831,158,SD,SD,SD,SD,SD,SD,SD,0,0,0
MO,Livingston,1018,170,SD,SD,SD,SD,0,SD,SD,0,0,0
MO,McDonald,1986,177,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Macon,1059,165,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Madison,829,113,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Maries,503,81,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Marion,2147,290,17,5.90%,6,2.10%,11,SD,SD,SD,SD,0
MO,Mercer,279,26,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Miller,1962,218,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Mississippi,851,211,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Moniteau,1230,159,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Monroe,587,78,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Montgomery,773,189,SD,SD,SD,SD,SD,SD,0,SD,0,0
MO,Morgan,1593,145,SD,SD,SD,SD,0,SD,0,0,0,0
MO,New Madrid,1266,259,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Newton,4355,584,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Nodaway,1162,179,6,3.40%,SD,SD,SD,SD,0,0,0,0
MO,Oregon,718,94,SD,SD,SD,SD,SD,0,SD,0,0,0
MO,Osage,910,101,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Ozark,474,26,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Pemiscot,1416,134,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Perry,1321,80,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Pettis,3518,575,11,1.90%,SD,SD,8,SD,0,0,0,0
MO,Phelps,2920,499,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Pike,1259,143,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Platte,7755,571,18,3.20%,SD,SD,14,SD,SD,SD,0,0
MO,Polk,2445,230,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Pulaski,4258,386,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Putnam,365,65,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Ralls,613,77,SD,SD,SD,SD,0,0,SD,0,0,0
MO,Randolph,1709,244,SD,SD,SD,SD,SD,0,0,SD,0,0
MO,Ray,1592,125,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Reynolds,354,42,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Ripley,965,127,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,St. Charles,28015,1627,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,St. Clair,659,32,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,St. Francois,4344,553,21,3.80%,SD,SD,18,SD,SD,SD,0,0
MO,St. Louis,70368,10785,118,1.10%,28,0.30%,90,12,10,SD,SD,0
MO,Saline,1555,205,6,2.90%,SD,SD,SD,SD,0,0,0,0
MO,Schuyler,425,39,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Scotland,456,21,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Scott,2957,539,6,1.10%,SD,SD,SD,SD,SD,0,0,0
MO,Shannon,541,41,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Shelby,456,82,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Stoddard,1970,341,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Stone,1595,182,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Sullivan,500,148,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Taney,3762,332,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Texas,1679,177,SD,SD,SD,SD,0,SD,0,0,0,0
MO,Vernon,1504,154,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Warren,2779,280,SD,SD,SD,SD,SD,SD,0,0,0,0
MO,Washington,1708,170,11,6.50%,SD,SD,6,SD,0,0,0,0
MO,Wayne,747,76,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Webster,3623,385,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,Worth,122,32,0,0.00%,0,0.00%,0,0,0,0,0,0
MO,Wright,1574,286,SD,SD,0,0.00%,SD,0,0,0,0,0
MO,St. Louis (city),21084,6340,293,4.60%,88,1.40%,205,48,19,6,12,SD
MO,Unknown,0,124,SD,SD,0,0.00%,SD,0,0,0,0,0
NV,Churchill,1989,133,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Clark,168607,3097,10,0.30%,SD,SD,6,SD,SD,0,SD,0
NV,Douglas,2030,58,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Elko,4525,94,SD,SD,SD,SD,0,SD,0,0,0,0
NV,Esmeralda,32,0,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Eureka,107,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Humboldt,1473,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Lander,476,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Lincoln,310,SD,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Lyon,3798,122,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Mineral,292,9,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Nye,2522,12,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Pershing,363,6,0,0.00%,0,0.00%,0,0,0,0,0,0
NV,Storey,125,0,0,0.00%,0,0.00%,0,0,0,0,0,0
