State,County,lat,lng
GA,Sumter,32.0399,-84.197
GA,Talbot,32.6995,-84.533
GA,Taliaferro,33.5661,-82.8788
GA,Tattnall,32.0458,-82.0581
GA,Taylor,32.5555,-84.2505
GA,Telfair,31.9298,-82.939
GA,Terrell,31.777,-84.437
GA,Thomas,30.8637,-83.9193
GA,Tift,31.4574,-83.5266
GA,Toombs,32.1216,-82.3312
GA,Towns,34.9167,-83.7373
GA,Treutlen,32.4039,-82.5673
GA,Troup,33.0335,-85.0284
GA,Turner,31.7164,-83.6241
GA,Twiggs,32.6672,-83.4271
GA,Union,34.8341,-83.9907
GA,Upson,32.8813,-84.2994
GA,Walker,34.7356,-85.301
GA,Walton,33.7816,-83.7339
GA,Ware,31.0538,-82.4237
GA,Warren,33.4089,-82.6768
GA,Washington,32.9695,-82.7959
GA,Wayne,31.5515,-81.9168
GA,Webster,32.0469,-84.5511
GA,Wheeler,32.117,-82.7246
GA,White,34.6464,-83.7471
GA,Whitfield,34.8056,-84.9672
GA,Wilcox,31.9729,-83.4323
GA,Wilkes,33.7819,-82.7432
GA,Wilkinson,32.8024,-83.1712
GA,Worth,31.5515,-83.8509
HI,Hawaii,19.5984,-155.5183
HI,Honolulu,21.4899,-158.0739
HI,Kalawao,21.1709,-156.9475
HI,Kauai,22.04,-159.5961
HI,Maui,20.8596,-156.565
IA,Adair,41.3307,-94.471
IA,Adams,41.029,-94.6992
IA,Allamakee,43.2843,-91.3781
IA,Appanoose,40.7432,-92.8686
IA,Audubon,41.6846,-94.9058
IA,Benton,42.0802,-92.0657
IA,Black Hawk,42.4701,-92.3088
IA,Boone,42.0365,-93.9316
IA,Bremer,42.7746,-92.3181
IA,Buchanan,42.4708,-91.8379
IA,Buena Vista,42.7355,-95.1511
IA,Butler,42.7316,-92.7902
IA,Calhoun,42.3852,-94.6404
IA,Carroll,42.0362,-94.8605
IA,Cass,41.3315,-94.9278
IA,Cedar,41.7723,-91.1324
IA,Cerro Gordo,43.0816,-93.2608
IA,Cherokee,42.7356,-95.6238
IA,Chickasaw,43.0601,-92.3177
IA,Clarke,41.029,-93.7852
IA,Clay,43.0826,-95.1509
IA,Clayton,42.8447,-91.3414
IA,Clinton,41.898,-90.532
IA,Crawford,42.0372,-95.382
IA,Dallas,41.6849,-94.0398
IA,Davis,40.7477,-92.4097
IA,Decatur,40.7377,-93.7863
IA,Delaware,42.4712,-91.3673
IA,Des Moines,40.9232,-91.1815
IA,Dickinson,43.378,-95.1508
IA,Dubuque,42.4688,-90.8825
IA,Emmet,43.3781,-94.6785
IA,Fayette,42.8626,-91.8444
IA,Floyd,43.0599,-92.789
IA,Franklin,42.7325,-93.2625
IA,Fremont,40.7456,-95.6047
IA,Greene,42.0363,-94.3968
IA,Grundy,42.4019,-92.7914
IA,Guthrie,41.6837,-94.5011
IA,Hamilton,42.3838,-93.7068
IA,Hancock,43.0819,-93.7343
IA,Hardin,42.3839,-93.2404
IA,Harrison,41.6829,-95.8168
IA,Henry,40.988,-91.5445
IA,Howard,43.3568,-92.3172
IA,Humboldt,42.7765,-94.2072
IA,Ida,42.3869,-95.5135
IA,Iowa,41.6863,-92.0655
IA,Jackson,42.1717,-90.5743
IA,Jasper,41.686,-93.0538
IA,Jefferson,41.0318,-91.9489
IA,Johnson,41.6715,-91.5881
IA,Jones,42.1212,-91.1315
IA,Keokuk,41.3365,-92.1786
IA,Kossuth,43.2041,-94.2067
IA,Lee,40.642,-91.4793
IA,Linn,42.079,-91.599
IA,Louisa,41.2185,-91.2596
IA,Lucas,41.0294,-93.3277
IA,Lyon,43.3805,-96.2102
IA,Madison,41.3307,-94.0156
IA,Mahaska,41.3352,-92.6409
IA,Marion,41.3344,-93.0994
IA,Marshall,42.0358,-92.9988
IA,Mills,41.0334,-95.6213
IA,Mitchell,43.3564,-92.789
IA,Monona,42.0516,-95.9599
IA,Monroe,41.0298,-92.869
IA,Montgomery,41.0301,-95.1564
IA,Muscatine,41.4839,-91.1127
IA,O'Brien,43.0838,-95.6249
IA,Osceola,43.3786,-95.6237
IA,Page,40.7391,-95.1502
IA,Palo Alto,43.0821,-94.6781
IA,Plymouth,42.7378,-96.2141
IA,Pocahontas,42.7342,-94.6787
IA,Polk,41.6854,-93.5734
IA,Pottawattamie,41.3366,-95.5423
IA,Poweshiek,41.6864,-92.5315
IA,Ringgold,40.7352,-94.244
IA,Sac,42.3862,-95.1054
IA,Scott,41.6371,-90.6232
IA,Shelby,41.6851,-95.3102
IA,Sioux,43.0826,-96.1779
IA,Story,42.0362,-93.465
IA,Tama,42.0798,-92.5326
IA,Taylor,40.7374,-94.6964
IA,Union,41.0277,-94.2424
IA,Van Buren,40.7532,-91.95
IA,Wapello,41.0306,-92.4095
IA,Warren,41.3343,-93.5615
IA,Washington,41.3356,-91.7179
IA,Wayne,40.7395,-93.3274
IA,Webster,42.4279,-94.1818
IA,Winnebago,43.3776,-93.7342
IA,Winneshiek,43.2907,-91.8437
IA,Woodbury,42.3897,-96.0448
IA,Worth,43.3774,-93.2608
IA,Wright,42.7331,-93.7352
ID,Ada,43.4511,-116.2412
ID,Adams,44.8895,-116.4538
ID,Bannock,42.6685,-112.2246
ID,Bear Lake,42.2848,-111.3297
ID,Benewah,47.2176,-116.6587
ID,Bingham,43.2166,-112.3981
ID,Blaine,43.4119,-113.9802
ID,Boise,43.9891,-115.7303
ID,Bonner,48.3,-116.6011
ID,Bonneville,43.3877,-111.6148
ID,Boundary,48.7669,-116.4629
ID,Butte,43.7229,-113.172
ID,Camas,43.4633,-114.8058
ID,Canyon,43.6251,-116.7093
ID,Caribou,42.7705,-111.5623
ID,Cassia,42.2839,-113.6001
ID,Clark,44.2839,-112.3512
ID,Clearwater,46.6736,-115.6567
ID,Custer,44.2411,-114.2817
ID,Elmore,43.354,-115.4693
ID,Franklin,42.1811,-111.8132
ID,Fremont,44.2288,-111.4819
ID,Gem,44.0615,-116.3975
ID,Gooding,42.971,-114.8115
ID,Idaho,45.8441,-115.4675
ID,Jefferson,43.8201,-112.3113
ID,Jerome,42.6899,-114.2639
ID,Kootenai,47.6744,-116.7018
ID,Latah,46.8162,-116.7117
ID,Lemhi,44.9433,-113.9333
ID,Lewis,46.237,-116.4263
ID,Lincoln,43.0024,-114.1383
ID,Madison,43.7841,-111.6592
ID,Minidoka,42.8543,-113.6375
ID,Nez Perce,46.3268,-116.7502
ID,Oneida,42.195,-112.5394
ID,Owyhee,42.5814,-116.1699
ID,Payette,44.0068,-116.7608
ID,Power,42.6937,-112.8407
ID,Shoshone,47.3529,-115.8924
ID,Teton,43.7594,-111.2076
ID,Twin Falls,42.356,-114.6672
ID,Valley,44.7666,-115.5663
ID,Washington,44.4524,-116.7847
IL,Adams,39.9879,-91.1885
IL,Alexander,37.1915,-89.3375
IL,Bond,38.8868,-89.4355
IL,Boone,42.3231,-88.8234
IL,Brown,39.9618,-90.7504
IL,Bureau,41.4041,-89.5287
IL,Calhoun,39.1693,-90.6676
IL,Carroll,42.0687,-89.9343
IL,Cass,39.9735,-90.2474
IL,Champaign,40.1401,-88.1992
IL,Christian,39.5458,-89.2773
IL,Clark,39.3336,-87.7877
IL,Clay,38.7542,-88.4902
IL,Clinton,38.6065,-89.4225
IL,Coles,39.5203,-88.2218
IL,Cook,41.8401,-87.8168
IL,Crawford,39.0027,-87.7596
IL,Cumberland,39.2733,-88.2402
IL,De Witt,40.1746,-88.9041
IL,DeKalb,41.8935,-88.7703
IL,Douglas,39.7694,-88.2173
IL,DuPage,41.852,-88.0856
IL,Edgar,39.6786,-87.7456
IL,Edwards,38.4165,-88.0533
IL,Effingham,39.0598,-88.5899
IL,Fayette,39.0002,-89.0241
IL,Ford,40.5972,-88.2233
IL,Franklin,37.9923,-88.9242
IL,Fulton,40.4728,-90.2075
IL,Gallatin,37.7628,-88.2305
IL,Greene,39.3562,-90.3905
IL,Grundy,41.2851,-88.4185
IL,Hamilton,38.0816,-88.5391
IL,Hancock,40.4037,-91.1647
IL,Hardin,37.5182,-88.2668
IL,Henderson,40.818,-90.9251
