"GEO_ID","NAME","B25048_001E","B25048_001M","B25048_002E","B25048_002M","B25048_003E","B25048_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Complete plumbing facilities","Margin of Error!!Total:!!Complete plumbing facilities","Estimate!!Total:!!Lacking complete plumbing facilities","Margin of Error!!Total:!!Lacking complete plumbing facilities",
"0500000US12027","DeSoto County, Florida","12207","572","12165","571","42","68",
"0500000US12029","Dixie County, Florida","6071","449","5905","409","166","161",
"0500000US12031","Duval County, Florida","387008","2233","386099","2249","909","267",
"0500000US12033","Escambia County, Florida","124494","1132","124129","1137","365","144",
"0500000US12035","Flagler County, Florida","45491","692","45461","696","30","35",
"0500000US12037","Franklin County, Florida","4559","250","4522","266","37","58",
"0500000US12039","Gadsden County, Florida","15769","392","15701","384","68","59",
"0500000US12041","Gilchrist County, Florida","6659","215","6627","216","32","37",
"0500000US12043","Glades County, Florida","4572","345","4468","346","104","113",
"0500000US12045","Gulf County, Florida","5519","559","5499","548","20","21",
"0500000US12047","Hamilton County, Florida","4208","347","4194","348","14","20",
"0500000US12049","Hardee County, Florida","8032","267","8017","269","15","18",
"0500000US12051","Hendry County, Florida","12821","476","12689","478","132","108",
"0500000US12053","Hernando County, Florida","78041","787","77813","782","228","93",
"0500000US12055","Highlands County, Florida","43977","787","43887","787","90","58",
"0500000US12057","Hillsborough County, Florida","547578","1835","545712","1847","1866","357",
"0500000US12059","Holmes County, Florida","6995","322","6951","319","44","38",
"0500000US12061","Indian River County, Florida","63377","1057","63285","1058","92","73",
"0500000US12063","Jackson County, Florida","16859","460","16837","463","22","18",
"0500000US12065","Jefferson County, Florida","5394","297","5394","297","0","23",
"0500000US12067","Lafayette County, Florida","2486","253","2449","247","37","49",
"0500000US12069","Lake County, Florida","149455","1471","148997","1479","458","234",
"0500000US12071","Lee County, Florida","298343","2343","297230","2360","1113","300",
"0500000US12073","Leon County, Florida","117677","1161","117142","1218","535","377",
"0500000US12075","Levy County, Florida","17248","396","17222","391","26","30",
"0500000US12077","Liberty County, Florida","2279","265","2267","261","12","23",
"0500000US12079","Madison County, Florida","6441","272","6428","271","13","17",
"0500000US12081","Manatee County, Florida","156254","1915","155771","1934","483","181",
"0500000US12083","Marion County, Florida","150880","1433","150424","1427","456","173",
"0500000US12085","Martin County, Florida","66108","900","65931","923","177","104",
"0500000US12086","Miami-Dade County, Florida","936351","2672","932755","2695","3596","456",
"0500000US12087","Monroe County, Florida","33643","702","33586","691","57","52",
"0500000US12089","Nassau County, Florida","34691","529","34602","531","89","70",
"0500000US12091","Okaloosa County, Florida","81785","792","81584","791","201","93",
"0500000US12093","Okeechobee County, Florida","14794","513","14720","512","74","90",
"0500000US12095","Orange County, Florida","475292","2844","473940","2800","1352","508",
"0500000US12097","Osceola County, Florida","110156","1530","109986","1542","170","119",
"0500000US12099","Palm Beach County, Florida","581119","2763","579590","2795","1529","283",
"0500000US12101","Pasco County, Florida","217318","1521","216828","1518","490","165",
"0500000US12103","Pinellas County, Florida","415730","2395","414572","2375","1158","305",
"0500000US12105","Polk County, Florida","253178","1861","252420","1882","758","251",
"0500000US12107","Putnam County, Florida","29174","552","28980","549","194","115",
"0500000US12109","St. Johns County, Florida","95640","1060","95492","1049","148","76",
"0500000US12111","St. Lucie County, Florida","122186","1457","121762","1443","424","264",
"0500000US12113","Santa Rosa County, Florida","67534","709","67422","711","112","74",
