State,County,year,Total Population of Children <72 Months of Age,Number of Children Tested <72 Months of Age,Number of Children with Confirmed BLLs ³5 µg/dL,Percent of Children with Confirmed BLLs ³5 µg/dL,Number of Children with Confirmed BLLs ³10 µg/dL,Percent of Children with Confirmed BLLs ³10 µg/dL,Number of Children with Confirmed BLLs 5-9 µg/dL,Number of Children with Confirmed BLLs 10-14 µg/dL,Number of Children with Confirmed BLLs 15-19 µg/dL,Number of Children with Confirmed BLLs 20-24 µg/dL,Number of Children with Confirmed BLLs 25-44 µg/dL,Number of Children with Confirmed BLLs ³45 µg/dL
GA,Dooly,2021,631,76,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Dougherty,2021,6659,896,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Douglas,2021,10918,1305,SD,SD,SD,SD,SD,0,0,0,SD,0
GA,Early,2021,792,47,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Echols,2021,296,15,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Effingham,2021,5297,579,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Elbert,2021,1347,225,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Emanuel,2021,1826,187,SD,SD,SD,SD,SD,SD,SD,0,0,0
GA,Evans,2021,808,157,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Fannin,2021,1240,251,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Fayette,2021,6430,438,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Floyd,2021,6985,352,9,2.60%,SD,SD,7,SD,0,SD,0,0
GA,Forsyth,2021,17724,1039,7,0.70%,SD,SD,SD,0,SD,SD,0,0
GA,Franklin,2021,1672,230,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Fulton,2021,72303,5119,27,0.50%,9,0.20%,18,SD,SD,0,SD,0
GA,Gilmer,2021,1921,245,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Glascock,2021,176,6,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Glynn,2021,5549,763,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Gordon,2021,4201,460,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Grady,2021,1908,386,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Greene,2021,1056,147,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Gwinnett,2021,73004,6343,16,0.30%,9,0.10%,7,6,SD,SD,0,0
GA,Habersham,2021,3160,190,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Hall,2021,15774,754,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Hancock,2021,367,73,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Haralson,2021,2322,212,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Harris,2021,2177,232,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Hart,2021,1635,126,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Heard,2021,777,45,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Henry,2021,16845,2164,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Houston,2021,12650,1330,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Irwin,2021,623,90,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Jackson,2021,5895,570,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Jasper,2021,946,106,SD,SD,0,0.00%,SD,0,0,0,0,0
GA,Jeff Davis,2021,1212,100,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Jefferson,2021,1168,98,SD,SD,SD,SD,SD,SD,0,0,0,0
GA,Jenkins,2021,580,122,SD,SD,SD,SD,0,SD,0,0,0,0
GA,Johnson,2021,616,68,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Jones,2021,1829,98,0,0.00%,0,0.00%,0,0,0,0,0,0
GA,Lamar,2021,1345,165,0,0.00%,0,0.00%,0,0,0,0,0,0
