NAME,DP04_0073PE,DP04_0073PM,DP04_0074PE,DP04_0074PM,DP04_0075PE,DP04_0075PM
Geographic Area Name,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete plumbing facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!Lacking complete kitchen facilities,Percent!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available,Percent Margin of Error!!SELECTED CHARACTERISTICS!!Occupied housing units!!No telephone service available
"Yuba County, California",0.9,0.5,1.5,0.7,0.8,0.4
"Adams County, Colorado",0.2,0.1,0.5,0.1,1.2,0.2
"Alamosa County, Colorado",2.8,1.7,2.5,1.4,0.8,0.7
"Arapahoe County, Colorado",0.3,0.1,0.6,0.1,0.9,0.1
"Archuleta County, Colorado",0.4,0.3,0.2,0.2,0.7,0.5
"Baca County, Colorado",0,2.3,0,2.3,1.9,1.1
"Bent County, Colorado",2.7,3,2.9,2.1,0.1,0.3
"Boulder County, Colorado",0.3,0.1,0.9,0.2,0.7,0.2
"Broomfield County, Colorado",0.2,0.1,0.7,0.2,0.5,0.3
"Chaffee County, Colorado",0.6,1,1.7,1.3,2.8,2
"Cheyenne County, Colorado",0,5.2,0,5.2,1.2,1.6
"Clear Creek County, Colorado",0.6,0.5,0.1,0.2,1.6,1.5
"Conejos County, Colorado",1.4,1.2,0,1.2,2.4,1.1
"Costilla County, Colorado",3.3,2.1,1.4,1.3,3.1,2.5
"Crowley County, Colorado",1,0.8,1.1,0.9,2,1.2
"Custer County, Colorado",1,1.2,0.6,1,0.8,0.9
"Delta County, Colorado",1.2,0.7,1.5,0.9,2,1
"Denver County, Colorado",0.3,0.1,0.8,0.1,0.9,0.1
"Dolores County, Colorado",2.5,2.8,2.2,2.6,4.5,3.6
"Douglas County, Colorado",0.1,0.1,0.4,0.2,0.5,0.1
"Eagle County, Colorado",0.1,0.1,0.5,0.6,1,0.9
"Elbert County, Colorado",0,0.4,0.2,0.3,0.8,0.4
"El Paso County, Colorado",0.2,0.1,0.4,0.1,0.8,0.1
"Fremont County, Colorado",0.7,0.5,0.8,0.5,2.4,1.1
"Garfield County, Colorado",0.3,0.4,0.7,0.7,2.8,1
"Gilpin County, Colorado",1.6,2.4,0.6,0.9,1.1,1.1
"Grand County, Colorado",0.2,0.3,0.5,0.4,0.8,0.7
"Gunnison County, Colorado",0.5,0.3,1.4,1.4,2,1.1
"Hinsdale County, Colorado",0,8.1,0,8.1,0,8.1
"Huerfano County, Colorado",0.8,1.1,0,1.4,1.5,1.3
"Jackson County, Colorado",0,5.8,0,5.8,0.6,0.8
"Jefferson County, Colorado",0.3,0.1,0.6,0.1,0.7,0.1
"Kiowa County, Colorado",0.9,0.9,2.1,2.3,0,6.2
"Kit Carson County, Colorado",0.1,0.1,0.6,0.4,1.9,1.5
"Lake County, Colorado",0,1.3,0.6,0.9,1.6,1.3
"La Plata County, Colorado",0.4,0.2,0.8,0.4,1.9,0.6
"Larimer County, Colorado",0.4,0.2,0.8,0.2,0.9,0.2
"Las Animas County, Colorado",0.4,0.3,0.8,0.5,1.6,0.8
"Lincoln County, Colorado",0.8,0.7,3,1.5,1.8,1.3
"Logan County, Colorado",0.1,0.2,0.7,0.6,1.4,0.7
"Mesa County, Colorado",0.1,0.1,1.5,0.4,1.5,0.6
"Mineral County, Colorado",0,9.3,0,9.3,0.5,0.8
"Moffat County, Colorado",0.4,0.7,0.4,0.7,1.8,1.3
"Montezuma County, Colorado",1.1,0.7,0.8,0.6,4.2,1.8
"Montrose County, Colorado",0.2,0.1,0.4,0.3,1.4,0.5
"Morgan County, Colorado",0.6,0.6,0.9,0.7,1.1,0.6
"Otero County, Colorado",0.4,0.4,0.2,0.2,3.5,1.9
"Ouray County, Colorado",0,1.7,0,1.7,0.4,0.6
"Park County, Colorado",0.6,0.8,0.2,0.3,1.4,0.8
"Phillips County, Colorado",0,2.2,0,2.2,0.3,0.4
"Pitkin County, Colorado",0.2,0.3,0.4,0.7,2.3,1.7
"Prowers County, Colorado",0.2,0.2,1.8,1.2,0.5,0.5
